date,strategy,direction,regime,confidence,lots,entry_time,entry_price,exit_price,exit_time,exit_reason,pnl_pts,pnl_rs,won,armed_reason,index
2025-02-03,MOMENTUM_BURST,CE,TRENDING_BEAR,0.826,1,2025-02-03 13:01:00,474.5,485.5,2025-02-03 14:30:00,TIME,10.2,368.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-03,BOLLINGER_SQUEEZE,CE,TRENDING_BEAR,0.826,1,2025-02-03 13:01:00,474.5,485.5,2025-02-03 14:30:00,TIME,10.2,368.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-05,MOMENTUM_BURST,CE,RANGE_BOUND,0.828,1,2025-02-05 13:01:00,421.55,430.0,2025-02-05 14:30:00,TIME,7.65,266.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-05,VWAP_BOUNCE,CE,RANGE_BOUND,0.828,1,2025-02-05 13:01:00,421.55,430.0,2025-02-05 14:30:00,TIME,7.65,266.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-05,MACD_DIVERGENCE,PE,RANGE_BOUND,0.839,1,2025-02-05 14:01:00,352.85,336.35,2025-02-05 14:30:00,TIME,-17.3,-732.0,False,ARMED(conf=0.84),FINNIFTY
2025-02-06,BEAR_TREND_FOLLOWER,PE,RANGE_BOUND,0.88,2,2025-02-06 12:46:00,333.7,336.55,2025-02-06 14:30:00,TIME,2.05,124.0,True,ARMED(conf=0.88),FINNIFTY
2025-02-06,MOMENTUM_BURST,PE,RANGE_BOUND,0.826,1,2025-02-06 12:46:00,333.7,336.55,2025-02-06 14:30:00,TIME,2.05,42.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-07,BEAR_TREND_FOLLOWER,PE,TRENDING_BEAR,0.895,2,2025-02-07 12:46:00,304.4,317.18399999999997,2025-02-07 13:56:00,TSL,11.98,918.72,True,ARMED(conf=0.90),FINNIFTY
2025-02-07,MOMENTUM_BURST,PE,TRENDING_BEAR,0.825,1,2025-02-07 13:46:00,306.25,322.4704,2025-02-07 13:55:00,TSL,15.42,576.82,True,ARMED(conf=0.82),FINNIFTY
2025-02-07,ATR_BREAK,PE,TRENDING_BEAR,0.825,1,2025-02-07 13:46:00,306.25,318.50559999999996,2025-02-07 13:56:00,TSL,11.46,418.22,True,ARMED(conf=0.82),FINNIFTY
2025-02-13,ATR_BREAK,PE,TRENDING_BEAR,0.827,1,2025-02-13 13:01:00,257.7,268.1848,2025-02-13 13:12:00,TSL,9.68,347.39,True,ARMED(conf=0.83),FINNIFTY
2025-02-13,EMA_CROSSOVER,PE,TRENDING_BEAR,0.824,1,2025-02-13 13:31:00,284.0,276.15,2025-02-13 14:30:00,TIME,-8.65,-386.0,False,ARMED(conf=0.82),FINNIFTY
2025-02-13,ATR_BREAK,PE,TRENDING_BEAR,0.824,1,2025-02-13 13:31:00,284.0,276.15,2025-02-13 14:30:00,TIME,-8.65,-386.0,False,ARMED(conf=0.82),FINNIFTY
2025-02-14,TREND_FOLLOWING,PE,TRENDING_BULL,0.829,1,2025-02-14 13:31:00,258.15,264.551,2025-02-14 13:36:00,TSL,5.6,184.04,True,ARMED(conf=0.83),FINNIFTY
2025-02-14,MOMENTUM_BURST,PE,TRENDING_BULL,0.827,1,2025-02-14 13:46:00,272.85,253.65,2025-02-14 14:30:00,TIME,-20.0,-840.0,False,ARMED(conf=0.83),FINNIFTY
2025-02-14,MACD_DIVERGENCE,CE,TRENDING_BULL,0.83,1,2025-02-14 14:01:00,362.65,353.05,2025-02-14 14:30:00,TIME,-10.4,-456.0,False,ARMED(conf=0.83),FINNIFTY
2025-02-14,OPTIONS_GREEKS,CE,TRENDING_BULL,0.839,1,2025-02-14 14:16:00,323.25,346.46399999999994,2025-02-14 14:18:00,TSL,22.41,856.56,True,ARMED(conf=0.84),FINNIFTY
2025-02-17,VWAP_BOUNCE,CE,TRENDING_BULL,0.837,1,2025-02-17 13:16:00,333.85,346.577,2025-02-17 13:39:00,TSL,11.93,437.08,True,ARMED(conf=0.84),FINNIFTY
2025-02-17,RESIST_BREAK,CE,TRENDING_BULL,0.827,1,2025-02-17 13:31:00,345.3,355.47499999999997,2025-02-17 14:04:00,TSL,9.37,335.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-19,MACD_DIVERGENCE,CE,TRENDING_BULL,0.837,1,2025-02-19 12:46:00,272.45,251.6,2025-02-19 14:29:00,SPOT_SL,-21.65,-906.0,False,ARMED(conf=0.84),FINNIFTY
2025-02-19,MOMENTUM_BURST,CE,TRENDING_BULL,0.836,1,2025-02-19 13:16:00,253.45,265.96,2025-02-19 13:35:00,TSL,11.71,428.4,True,ARMED(conf=0.84),FINNIFTY
2025-02-19,MACD_DIVERGENCE,PE,TRENDING_BULL,0.838,1,2025-02-19 13:46:00,228.8,230.65,2025-02-19 14:30:00,TIME,1.05,2.0,True,ARMED(conf=0.84),FINNIFTY
2025-02-19,EMA_CROSSOVER,PE,TRENDING_BULL,0.827,1,2025-02-19 14:16:00,234.5,230.65,2025-02-19 14:30:00,TIME,-4.65,-226.0,False,ARMED(conf=0.83),FINNIFTY
2025-02-19,BOLLINGER_SQUEEZE,PE,TRENDING_BULL,0.827,1,2025-02-19 14:16:00,234.5,230.65,2025-02-19 14:30:00,TIME,-4.65,-226.0,False,ARMED(conf=0.83),FINNIFTY
2025-02-19,ATR_BREAK,PE,TRENDING_BULL,0.827,1,2025-02-19 14:16:00,234.5,230.65,2025-02-19 14:30:00,TIME,-4.65,-226.0,False,ARMED(conf=0.83),FINNIFTY
