time,symbol,strategy,direction,entry,sl_pts,tp_pts,atr,point,outcome,pnl_pts,pnl_usd,week
2026-07-07 19:15:00,EURUSD,DAY_LOW_BULLISH,BUY,1.14175,10.84974104473742,22.924795813537546,0.00026579473407000056,1e-05,WIN,22.9,2.29,Jul 04–10 2026
2026-07-07 19:30:00,EURUSD,DAY_LOW_BULLISH,BUY,1.14192,12.238044618349395,25.85819079697784,0.00029980511068959816,1e-05,LOSS,-12.2,-1.22,Jul 04–10 2026
2026-07-06 20:15:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14351,12.722061667598515,22.993018083019383,0.00035887338977710914,1e-05,LOSS,-12.7,-1.27,Jul 04–10 2026
2026-07-08 20:00:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14202,11.645116135623345,21.046617512253533,0.00032849410819811976,1e-05,WIN,21.0,2.1,Jul 04–10 2026
2026-07-08 20:15:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14252,13.737016372012864,24.827380506484182,0.00038750398792702017,1e-05,WIN,24.8,2.48,Jul 04–10 2026
2026-07-09 07:45:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14258,2.7760807817618223,5.017305943229337,7.830975406944493e-05,1e-05,LOSS,-2.8,-0.28,Jul 04–10 2026
2026-07-09 08:00:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.1431,2.121514733410896,3.8342862896935435,5.984526751511696e-05,1e-05,WIN,3.8,0.38,Jul 04–10 2026
2026-07-09 08:15:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14314,3.285633150268721,5.938237403038561,9.268358674947028e-05,1e-05,WIN,5.9,0.59,Jul 04–10 2026
2026-07-09 08:30:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14307,4.270544436405159,7.718301326952852,0.00012046669778293822,1e-05,LOSS,-4.3,-0.43,Jul 04–10 2026
2026-07-09 08:45:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14297,4.823224716251859,8.717179339076353,0.00013605711470386064,1e-05,LOSS,-4.8,-0.48,Jul 04–10 2026
2026-07-09 09:00:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14333,5.047907430529995,9.12325610928228,0.00014239513203187577,1e-05,LOSS,-5.0,-0.5,Jul 04–10 2026
2026-07-09 09:15:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14458,5.7131804366679795,10.325626814592876,0.00016116164842504881,1e-05,WIN,10.3,1.03,Jul 04–10 2026
2026-07-09 16:45:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14382,7.002009856111048,12.65497239720832,0.0001975179084939647,1e-05,WIN,12.7,1.27,Jul 04–10 2026
2026-07-09 17:00:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.144,8.513800849839283,15.38728407473069,0.00024016363469222241,1e-05,LOSS,-8.5,-0.85,Jul 04–10 2026
2026-07-09 17:15:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14381,9.978149323912428,18.033851260453297,0.0002814710669650897,1e-05,LOSS,-10.0,-1.0,Jul 04–10 2026
2026-07-09 17:30:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.14356,10.030974055257829,18.129323207908865,0.0002829611863260319,1e-05,LOSS,-10.0,-1.0,Jul 04–10 2026
2026-07-09 17:45:00,EURUSD,DAY_HIGH_BEARISH,SELL,1.1432,9.821635221529839,17.750977958911616,0.00027705600060732975,1e-05,LOSS,-9.8,-0.98,Jul 04–10 2026
