Strategy,Trades,Win Rate (%),Total P&L,Avg P&L,ROI (%),Investment,Capital Utilization (%),Status
RSI_DIVERGENCE_LOSING,28,89.3,10174.30,363.37,5.0,203760.00,407.5,ACTIVE
MACD_DIVERGENCE_LOSING,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
BOLLINGER_SQUEEZE_LOSING,3,66.7,413.98,137.99,1.8,23628.00,47.3,ACTIVE
VOLUME_SPIKE_LOSING,12,75.0,3375.75,281.31,4.5,74756.00,149.5,ACTIVE
STOCHASTIC_OVERSOLD_LOSING,23,91.3,8793.17,382.31,5.1,173384.00,346.8,ACTIVE
WILLIAMS_REVERSAL_LOSING,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
CCI_EXTREME_LOSING,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
ATR_BREAKOUT_LOSING,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
MFI_DIVERGENCE_LOSING,1,100.0,189.39,189.39,6.6,2876.00,5.8,ACTIVE
TREND_FOLLOWING_OPTIMIZED,36,86.1,12739.40,353.87,5.0,252764.00,505.5,ACTIVE
MOMENTUM_REVERSAL_LOSING,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
BREAKOUT_REVERSAL_LOSING,3,100.0,1369.37,456.46,5.8,23628.00,47.3,ACTIVE
STRONG_MOMENTUM_LOSING,5,80.0,1577.08,315.42,3.8,41128.00,82.3,ACTIVE
MULTI_TIMEFRAME_LOSING,36,86.1,13858.99,384.97,5.5,252764.00,505.5,ACTIVE
AI_ENHANCED_LOSING,36,83.3,11887.48,330.21,4.7,252764.00,505.5,ACTIVE
DAY_HIGH_LOW_OPTIMIZED,0,0.0,0.00,0.00,0.0,0.00,0.0,INACTIVE
HIGH_VOLUME_LOSING,14,85.7,3875.07,276.79,4.1,95508.00,191.0,ACTIVE
