strategy,action,entry_time,entry_price,strike,option_type,premium,delta,theta,gamma,vega,confidence,reason,position_size,broker_charges,status,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,pnl
adx_trend_realistic,BUY,2026-03-30 14:17:00,24277.48,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.677365436652419,Strong uptrend with ADX confirmation,50,40,CLOSED,2026-03-30 14:48:00,24376.01,Time Exit,4926.499999999942,4846.499999999942,4846.499999999942
adx_trend_realistic,BUY,2026-04-01 11:27:00,23047.14,23050,ce,5.0,0.5291,-0.4788,0.0117,0.2132,0.5732213726463811,Strong uptrend with ADX confirmation,50,40,CLOSED,2026-04-01 11:58:00,23188.91,Time Exit,7088.500000000022,7008.500000000022,7008.500000000022
