action,entry_time,entry_price,strike,option_type,premium,position_lots,position_size,target_type,reason,status,broker_charges,max_risk,atr,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,pnl,roi,investment
BUY,2026-03-30 09:15:00,23076.68,23100,ce,657.5200000000004,1,50,opposite_day_low,Final opposite_day_low breakout,CLOSED,40,600.0,217.73642857142917,2026-03-30 09:26:00,23154.5,Time Exit,3890.9999999999854,3810.9999999999854,3810.9999999999854,11.592042827594545,32876.00000000002
SELL,2026-03-30 09:15:00,23076.68,22600,pe,907.5200000000004,1,50,opposite_day_high,Final opposite_day_high breakout,CLOSED,40,300.0,217.73642857142917,2026-03-30 09:21:00,23107.41,Time Exit,-1536.4999999999782,-1616.4999999999782,-1616.4999999999782,-3.5624559238363394,45376.00000000002
BUY,2026-03-30 09:16:00,23081.19,23100,ce,657.5200000000004,1,50,opposite_day_low,Final opposite_day_low breakout,CLOSED,40,600.0,212.14214285714348,2026-03-30 09:27:00,23122.23,Time Exit,2052.0000000000437,1972.0000000000437,1972.0000000000437,5.99829662976044,32876.00000000002
SELL,2026-03-30 09:16:00,23081.19,22600,pe,907.5200000000004,1,50,opposite_day_high,Final opposite_day_high breakout,CLOSED,40,300.0,212.14214285714348,2026-03-30 09:22:00,23117.2,Time Exit,-1800.5000000001019,-1880.5000000001019,-1880.5000000001019,-4.144261283498107,45376.00000000002
BUY,2026-03-30 09:17:00,23058.85,23100,ce,657.5200000000004,1,50,opposite_day_low,Final opposite_day_low breakout,CLOSED,40,600.0,211.9442857142863,2026-03-30 09:28:00,23125.06,Time Exit,3310.5000000001382,3230.5000000001382,3230.5000000001382,9.826317070203602,32876.00000000002
SELL,2026-03-30 09:17:00,23058.85,22600,pe,907.5200000000004,1,50,opposite_day_high,Final opposite_day_high breakout,CLOSED,40,300.0,211.9442857142863,2026-03-30 09:23:00,23097.63,Time Exit,-1939.0000000001237,-2019.0000000001237,-2019.0000000001237,-4.449488716502386,45376.00000000002
BUY,2026-03-30 09:18:00,23086.34,23100,ce,657.5200000000004,1,50,opposite_day_low,Final opposite_day_low breakout,CLOSED,40,600.0,208.32142857142935,2026-03-30 09:29:00,23124.11,Time Exit,1888.5000000000218,1808.5000000000218,1808.5000000000218,5.500973354422742,32876.00000000002
SELL,2026-03-30 09:18:00,23086.34,22600,pe,907.5200000000004,1,50,opposite_day_high,Final opposite_day_high breakout,CLOSED,40,300.0,208.32142857142935,2026-03-30 09:24:00,23124.23,Time Exit,-1894.499999999971,-1974.499999999971,-1974.499999999971,-4.351419252468199,45376.00000000002
