strategy,action,entry_time,entry_price,strike,option_type,premium,delta,theta,gamma,vega,confidence,reason,position_lots,position_size,broker_charges,max_risk,status,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,pnl,roi,investment
mean_reversion_improved,SELL,2026-03-27 11:37:07.140822,24100.35,23800,pe,28.31,-0.494,-0.4574,0.0108,0.2369,0.5,Mean reversion sell improved,1,50,40,2000.0,CLOSED,2026-03-27 12:23:07.140822,24375.04,Time Exit,-13734.500000000116,-13814.500000000116,-13814.500000000116,-975.9448957965466,1415.5
mean_reversion_improved,SELL,2026-03-27 12:03:07.140822,24262.92,23800,pe,28.31,-0.494,-0.4574,0.0108,0.2369,0.5,Mean reversion sell improved,1,50,40,2000.0,CLOSED,2026-03-27 12:49:07.140822,24448.7,Time Exit,-9289.000000000124,-9369.000000000124,-9369.000000000124,-661.8862592723507,1415.5
