strategy,action,entry_time,entry_price,strike,option_type,premium,delta,theta,gamma,vega,confidence,reason,status,exit_time,exit_price,exit_reason,pnl
enhanced_day_high_low,SELL,2026-03-30 09:15:00.000000,23076.68,23100,pe,10.0,-0.4436,-0.5271,0.0098,0.1906,0.7,,CLOSED,2026-03-30 09:21:00.000000,23107.41,Time Exit,-1536.4999999999782
enhanced_day_high_low,SELL,2026-03-31 09:15:00.000000,22644.45,22650,pe,5.0,-0.4991,-0.5064,0.0101,0.1945,0.7,,CLOSED,2026-03-31 09:21:00.000000,22650.7,Time Exit,-312.5
enhanced_day_high_low,SELL,2026-04-01 09:15:00.000000,22793.71,22800,pe,5.0,-0.5112,-0.5026,0.0096,0.2148,0.7,,CLOSED,2026-04-01 09:21:00.000000,22772.26,Time Exit,1072.5000000000364
enhanced_day_high_low,SELL,2026-04-02 09:15:00.000000,22764.87,22750,pe,7.41,-0.4085,-0.4956,0.0092,0.1822,0.7,,CLOSED,2026-04-02 09:21:00.000000,22810.6,Time Exit,-2286.499999999978
enhanced_day_high_low,SELL,2026-04-03 09:15:00.000000,22584.35,22600,pe,5.0,-0.5576,-0.5089,0.0093,0.2046,0.7,,CLOSED,2026-04-03 09:21:00.000000,22679.29,Time Exit,-4747.000000000116
enhanced_day_high_low,SELL,2026-04-06 09:15:00.000000,22928.02,22950,pe,10.0,-0.5335,-0.5519,0.0093,0.2014,0.7,,CLOSED,2026-04-06 09:21:00.000000,22963.28,Time Exit,-1762.99999999992
rsi_oversold,BUY,2026-03-30 09:15:00.000000,23076.68,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.748497234106379,,CLOSED,2026-03-30 09:21:00.000000,23107.41,Time Exit,1536.4999999999782
rsi_oversold,BUY,2026-03-30 09:16:00.000000,23081.19,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.7762773883077875,,CLOSED,2026-03-30 09:22:00.000000,23117.2,Time Exit,1800.5000000001019
rsi_oversold,BUY,2026-03-30 09:17:00.000000,23058.85,23050,ce,5.0,0.5291,-0.4788,0.0117,0.2132,0.8127912460131966,,CLOSED,2026-03-30 09:23:00.000000,23097.63,Time Exit,1939.0000000001237
rsi_oversold,BUY,2026-03-30 09:18:00.000000,23086.34,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.7928969237694105,,CLOSED,2026-03-30 09:24:00.000000,23124.23,Time Exit,1894.499999999971
rsi_oversold,BUY,2026-03-30 09:19:00.000000,23076.77,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.8352809673813663,,CLOSED,2026-03-30 09:25:00.000000,23129.33,Time Exit,2628.0000000000655
rsi_oversold,BUY,2026-03-30 09:20:00.000000,23093.39,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.8301536817507824,,CLOSED,2026-03-30 09:26:00.000000,23154.5,Time Exit,3055.500000000029
rsi_oversold,BUY,2026-03-30 09:21:00.000000,23107.41,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.8238917295263212,,CLOSED,2026-03-30 09:27:00.000000,23122.23,Time Exit,740.9999999999854
rsi_oversold,BUY,2026-03-30 09:22:00.000000,23117.2,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.8106333674458795,,CLOSED,2026-03-30 09:28:00.000000,23125.06,Time Exit,393.0000000000291
rsi_oversold,BUY,2026-03-30 09:23:00.000000,23097.63,23100,ce,5.0,0.5573,-0.5358,0.0098,0.1906,0.8184622053282656,,CLOSED,2026-03-30 09:29:00.000000,23124.11,Time Exit,1323.9999999999782
