Strategy,Trades,Win Rate,Total P&L,Avg P&L,ROI,Investment,Capital Utilization,Avg Delta,Avg Theta,Avg Vega,ATM Trades,ITM Trades,OTM Trades,Status
DAY_HIGH_LOW_OPTIMIZED,2,50.0%,-474.00,-237.00,-0.0%,83728.19,83.7%,-0.050,-0.050,0.100,1,0,1,ACTIVE
TREND_FOLLOWING_OPTIMIZED,2,100.0%,7396.00,3698.00,8.0%,90348.33,90.3%,0.000,-0.050,0.100,2,0,0,ACTIVE
ATR_BREAKOUT_LOSING,2,50.0%,370.00,185.00,0.6%,81829.85,81.8%,0.000,-0.050,0.100,0,0,2,ACTIVE
MOMENTUM_REVERSAL_LOSING,2,50.0%,11086.00,5543.00,13.1%,82399.20,82.4%,0.000,-0.050,0.100,0,0,2,ACTIVE
MACD_DIVERGENCE_LOSING,2,50.0%,-10346.50,-5173.25,-11.9%,83934.89,83.9%,-0.050,-0.050,0.100,1,0,1,ACTIVE
BOLLINGER_SQUEEZE_LOSING,2,50.0%,-4793.50,-2396.75,-4.3%,86332.58,86.3%,-0.050,-0.050,0.100,1,0,1,ACTIVE
HIGH_VOLUME_LOSING,2,0.0%,-83786.50,-41893.25,-100.3%,87368.46,87.4%,-0.050,-0.050,0.100,1,0,1,ACTIVE
CCI_EXTREME_LOSING,2,0.0%,-5187.00,-2593.50,-5.8%,87764.92,87.8%,-0.050,-0.050,0.100,1,0,1,ACTIVE
