action,entry_time,entry_price,strike,option_type,premium,position_lots,position_size,reason,status,broker_charges,max_risk,atr,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,pnl,roi,investment
SELL,2026-03-31 09:17:00,22621.1,22400,pe,1007.5200000000004,1,50,Balanced low breakdown,CLOSED,40,1500.0,238.81000000000054,2026-03-31 09:38:00,22792.02,Time Exit,-8546.000000000095,-8626.000000000095,-8626.000000000095,-17.12323328569178,50376.00000000002
SELL,2026-03-31 09:26:00,22751.24,22400,pe,1007.5200000000004,1,50,Balanced low breakdown,CLOSED,40,1500.0,215.39714285714348,2026-03-31 09:47:00,22896.03,Time Exit,-7239.499999999862,-7319.499999999862,-7319.499999999862,-14.529736382404037,50376.00000000002
SELL,2026-03-31 09:27:00,22759.57,22400,pe,1007.5200000000004,1,50,Balanced low breakdown,CLOSED,40,1500.0,213.4078571428576,2026-03-31 09:48:00,22890.27,Time Exit,-6535.000000000036,-6615.000000000036,-6615.000000000036,-13.131252977608451,50376.00000000002
SELL,2026-03-31 09:30:00,22750.97,22400,pe,1007.5200000000004,1,50,Balanced low breakdown,CLOSED,40,1500.0,70.01214285714273,2026-03-31 09:51:00,22903.54,Time Exit,-7628.499999999985,-7708.499999999985,-7708.499999999985,-15.301929490233409,50376.00000000002
