strategy,action,entry_time,entry_price,strike,option_type,premium,delta,theta,gamma,vega,confidence,reason,position_lots,position_size,broker_charges,max_risk,status,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,pnl,roi,investment
mean_reversion_fixed,SELL,2026-03-27 10:08:07.140822,23635.32,23350,pe,14.68,-0.5691,-0.5012,0.0099,0.1943,0.3899695625506332,Mean reversion sell fixed,2,100,40,2000.0,CLOSED,2026-03-27 10:54:07.140822,23866.18,Time Exit,-23086.00000000006,-23166.00000000006,-23166.00000000006,-1578.0653950953717,1468.0
mean_reversion_fixed,SELL,2026-03-27 10:13:07.140822,23640.98,23350,pe,14.68,-0.5691,-0.5012,0.0099,0.1943,0.4,Mean reversion sell fixed,2,100,40,2000.0,CLOSED,2026-03-27 10:59:07.140822,23854.71,Time Exit,-21372.999999999956,-21452.999999999956,-21452.999999999956,-1461.3760217983622,1468.0
strong_momentum_fixed,BUY,2026-03-27 10:06:07.140822,23605.93,23650,ce,15.08,0.5231,-0.5322,0.0099,0.2216,0.5,Strong momentum bull fixed,2,100,40,2000.0,CLOSED,2026-03-27 10:52:07.140822,23839.96,Time Exit,23402.999999999884,23322.999999999884,23322.999999999884,1546.618037135271,1508.0
strong_momentum_fixed,BUY,2026-03-27 10:08:07.140822,23635.32,23650,ce,15.08,0.5231,-0.5322,0.0099,0.2216,0.5,Strong momentum bull fixed,2,100,40,2000.0,CLOSED,2026-03-27 10:54:07.140822,23866.18,Time Exit,23086.00000000006,23006.00000000006,23006.00000000006,1525.596816976131,1508.0
high_volume_fixed,BUY,2026-03-27 10:06:07.140822,23605.93,23650,ce,15.08,0.5231,-0.5322,0.0099,0.2216,0.42434226917275253,High volume bull fixed,2,100,40,2000.0,CLOSED,2026-03-27 10:52:07.140822,23839.96,Time Exit,23402.999999999884,23322.999999999884,23322.999999999884,1546.618037135271,1508.0
high_volume_fixed,BUY,2026-03-27 10:47:07.140822,23857.82,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.44182239118357924,High volume bull fixed,2,100,40,2000.0,CLOSED,2026-03-27 11:33:07.140822,23995.23,Time Exit,13740.999999999985,13660.999999999985,13660.999999999985,1026.3711495116443,1331.0
