2026-04-30T21:46:09.038522 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T21:46:09.038522 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T22:01:10.341621 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T22:01:10.341621 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T22:16:11.479055 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T22:16:11.479055 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T22:31:12.623232 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T22:31:12.623232 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T22:46:13.751522 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T22:46:13.751522 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T23:01:15.093823 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T23:01:15.093823 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T23:16:16.871034 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T23:16:16.871034 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T23:31:18.064935 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T23:31:18.064935 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-04-30T23:46:19.218942 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-04-30T23:46:19.219008 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T00:01:20.188608 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T00:16:20.267877 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T00:31:20.339710 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T14:00:02.630031 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T14:00:04.994917 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T14:15:02.758240 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T14:15:02.758240 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T14:15:05.091848 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T14:15:05.091848 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T14:30:02.886222 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T14:30:02.886222 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T14:30:05.192934 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T14:30:05.192934 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T14:45:03.011168 | POSITION_SIZE_PCT = 1.0 | Regime profile
